Id,SpeakerName,Phrase,translation
140852001,カミラ,んじゃ、教室戻ってきたから、そろそろ本番始めるね！,好了，先回到教室里头，差不多进入正题吧！
140852002,カミラ,ってやっば！　シェシェのおかげでコメ欄ちょー光速なんだけど！/nウケる読めんわ。あ、ウルチャありがとねー！,呜哇不得了！　因为雪雪来了，评论区光速刷屏！/n笑死，读不了一点。啊、谢谢打赏——！
140852003,カミラ,って、シェシェ～。コラボなんだからもっとこっち寄ってってば。/n画面から見切れちゃってるって。,啊、雪雪～。这是联动啊，你再往这边靠一下嘛。/n画面都看不到你了。
140852004,雪,……本当に受け取るんだろうな？,……你真的会收下的吧？
140852005,カミラ,ほらほら、シェシェが顔見せてくれただけでコメ欄ブチ上がってる！/n観てくれてる皆のためにも、アゲてこ！,好啦好啦、雪雪光是露一下脸评论区就炸锅了！/n也当为了各位观众，炒热一下气氛吧！
140852006,雪,……ぐぬぬ。銀河座の王雪だ――,……咕唔唔。我是来自银河座的王雪——
140852007,雪,な、なんだ？　画面がアイコンで埋まったぞ？/nコメント欄も同じ絵文字ばかり流れてる！　壊れたのか！？,怎、怎么回事？　屏幕画面上全都是头像？/n评论区里全是一样的颜文字！　坏掉了吗？
140852008,カミラ,シェシェだから雪なんじゃね？　愛されてんね～！,因为是雪雪所以发雪花吗？　大家好爱喔～！
140852009,カミラ,つか、ヒカりんの配信もこんな感じだったっしょ。,话说和绯花里直播的时候也是这种感觉吧。
140852010,雪,流れで出ただけだ、いちいち覚えてなんて……ん？,我只是顺着她露了个脸，哪会记得这么清……嗯？
140852011,雪,……おい、ワタシの顔おかしくないか？/n普段より目がデカい気がする。いや絶対大きいだろ。,……喂、怎么感觉我的脸怪怪的？/n眼睛看着比平时更大。不对这绝对是大了。
140852012,カミラ,このデカ目フィルター、めっちゃ盛れて可愛くね？/nノープランだし色々遊んでこーよ。,这个大眼睛滤镜，不觉得超级漂亮可爱吗？/n反正也没啥计划就随便玩玩呗。
140852013,雪,盛っていいのか、配信って……。,这么闹腾就行了吗，直播……
140852014,カミラ,他にもデフォで面白いの結構あるんだよね～。/nんじゃ、こーゆーのはどうよ。,还有不少默认设置就很有趣的效果喔～。/n看看、这种怎么样呀。
140852015,雪,なんだこのそばかす面は！　ムズムズする……！,这个雀斑脸是什么鬼啊！　看着就让人发毛……！
140852016,カミラ,え、かわちいと思わん？　思わんかー。シェシェ的にはナシかー。,诶、不觉得很口爱吗？　不觉得啊——。那看来雪雪不中意这个——
140852017,カミラ,……あーね。シェシェに似合うって言うと、こっちかも！,……啊对。要说适合雪雪的话，或许是这个！
140852018,雪,おお、パンダの耳まで生えるのか……。,噢噢、连熊猫耳朵都能长出来吗……
140852019,雪,……じゃない！　勝手に妙な加工するな！,……不对！　别给我乱加工啊！
140852020,カミラ,それそれ。ノリツッコミもこなせるとかマジエグい！/nヒカりんの配信でもケーミョーシャダツだったし！,哈哈哈。吐槽功能也完美得不得了！/n和绯花里直播的时候也是这么轻松潇洒！
140852021,雪,こんなの配信して誰が喜ぶんだよ……。,这种直播谁会乐意看啊……。
140852022,カミラ,いやいや、みんなめっちゃ喜んでるからね？/nじゃー次は、ウチとシェシェの顔交換フィルター。ほいっと。,哪里哪里、大家都看得很开心喔？/n那下一个，咱和雪雪的换脸滤镜。嘿咻。
140852023,カミラ,あはははは！　おもろ！/nやっばシェシェ、めっちゃ盛れてるし！,啊哈哈哈哈！　超有趣！/n雪雪不得了，超级上镜！
140852024,雪,お前の顔になってるんだよ！　違和感の塊だ！,我这边变成你的脸了啊！　违和感爆棚了！
140852025,カミラ,ツッコミの反射神経エグすぎ、ウケる！,吐槽的反射神经太强啦，笑死了！
140852026,カミラ,ねね、他にもあるけど次どーする？,嗳嗳、还有其他各种各样的，接下来试哪个？
140852027,雪,ただ顔イジって遊んでるだけじゃないか！/nもういい配信は終わりだ！　散れ視聴者ども！,这不是单纯在摆弄脸蛋吗！/n行了这个直播结束了！　观众都散了吧！
140852028,カミラ,うわマ？　同接数やっば！/nウルチャ鬼ヤバなんですけど！,呜哇真假？　在线人数不得了！/n这个打赏数量见都没见过！
140852029,雪,何が面白いんだこいつらは。ド平日の昼間だぞ……。,到底觉得哪里有意思啊这群人。这个是大白天的工作日啊……
140852030,カミラ,そんなんシェシェが出てくれてるからっしょ！,那当然是因为有雪雪在啊！
140852031,カミラ,ん？　えーと、フィルタだけじゃなくてもっと絡んで……か。,嗯？　呃呃、别光玩滤镜再多互动一下……啊
140852032,雪,ほら、客も飽きている。とっととエフェクト外して配信終わるぞ。/n顔だけでも売らんと出た意味がない……。,你看，观众也腻了。赶紧把效果撤掉关直播了。/n连人气都赚不来就没出场意义了……
140852033,カミラ,たしかに。せっかくのコラボだし、これで終わりじゃもったいない……。,说得也是。难得一次联动，就这没结束也太可惜了……
140852034,カミラ,――そーだ！　シェシェ、ちょいスマホ預かっといて。,——对了！　雪雪，帮咱拿一下手机。
140852035,雪,忙しいヤツだな……。/nええと、フィルターは確かこうやって……。,你也有够忙的……。/n呃呃、我记得滤镜是要这样关……
140852036,雪,……ふう。やっと見慣れた顔だ。/nお前ら、ワタシの顔拝んで満足したな？　配信終わるぞ。,……呼。终于变回正常的脸了。/n你们啊，看我的脸都看够了吧？　直播要结束咯。
140852037,カミラ,や、終わらんから！　お昼休みはまだあるし！,没、才不会结束啊！　午休时间还长着呢！
140852038,カミラ,つーワケでシェシェ、メイクしてアゲてこ！,于是乎雪雪，让咱来给你化个妆吧！
140852039,雪,はあ！？　メイクなんて舞台だけで充分だろ！,哈啊！？　化妆这种事留到舞台上就够了！
140852040,カミラ,メイクすれば気分アガるし楽しくなるって！,化个妆心情也会变好很开心的！
140852041,カミラ,てことで、センセにバレにくいメイク講座やってくよー！,那么接下来，不会被老师发现的淡妆小课堂开课啦——！
140852042,雪,要らんことを――うお、コメント欄が目で追えん！,净干些多余——呜噢、评论区看不过来了！
140852043,カミラ,今日紹介するこのコスメは色付きの日焼け止めなんだけど。,今天要介绍的是这款带颜色的防晒霜。
140852044,カミラ,ベース代わりになるしタイパ最高だからマジ推せる！,不仅能作为妆前打底还省时省力，真心推荐！
140852045,カミラ,しかもこれ、テクスチャが良いんだよね！/nほら、日焼け止めってベタつくイメージあるっしょ？　でも――,而且这个质感也超级好！/n你想啊，防晒霜不是给人一种黏糊糊的印象嘛？
140852046,雪,お、おい、勝手に塗るな！,喂、喂，别擅自给我涂啊！
140852047,カミラ,シェシェ、塗られてみてど？/nベタベタする？,雪雪，涂一下感觉怎样？/n会黏糊糊的吗？
140852048,雪,ワタシの意思を無視して塗りやがって……。,不听人话就擅自给我涂……
140852049,雪,まあ、意外とサラサラしているが……。,唉、确实是感觉挺清爽的……
140852050,カミラ,でそ！　鬼ヤバなトーンアップ効果も激熱！,是吧！　调色效果也棒得不得了！
140852051,カミラ,んで、仕上げは艶出しの透明マスカラと隠しアイラインを……。,接着收尾，涂上透明亮色睫毛膏再画个隐形眼线……
140852052,雪,緋花里の配信は喋るだけで気楽だったぞ……。,绯花里的直播只需要说话还挺轻松……。
140852053,カミラ,そう言わないで……ほら、完成！,别这么说嘛……好啦，完成！
140852054,カミラ,どうよどうよ。イケてるって思わん？,怎么样怎么样。感觉相当不错吧？
140852055,雪,まあ……悪くはないが……。,嗯……坏倒是不坏……
140852056,カミラ,だよね！　せっかくかわちいんだし、やんないともったいないって！/nベースと目元に絞ったから、忙しいシェシェでも手軽っしょ？,是吧！　雪雪这么口爱，不化一下妆太可惜了！/n咱只给你打了妆底画了个眼睛，就算忙如雪雪也能轻松上手喔？
140852057,雪,半分以上何言ってるかわからん……。,你说的话有一半我都听不懂……。
140852058,,,
140852059,カミラ,っと、予鈴鳴っちゃったから、ゲリラ配信はここまで！,啊、预备铃响了，突击直播就先到这里！
140852060,カミラ,んじゃ、みんなも良かったらやってみて！　じゃーねー！,那么，大家有空的话也试试看喔！　拜拜——！
140852061,雪,や、やっと終わった……。,终、终于结束了……。
140852062,カミラ,シェシェめっちゃよかったよ！/n途中からウチの友達もコメ欄いてウケたし！,雪雪表现超级好啊！/n播到一般发现咱朋友也在评论区里真是笑死！
140852063,カミラ,あー、いい配信できたわー！,啊——、这次直播真不错！
140852064,カミラ,……お？　どしたんシェシェ？　メイクに感動して声出ない系？,……噢？　怎么了雪雪？　化完妆被感动得说不出话来了？
140852065,雪,呆れて声が出ないんだよ……。/nよくこんな大変なことやってるな、給料発生する仕事だぞ……。,我是被你整得没话说了……。/n这么麻烦的事真亏你能做下去，换成工作可是要收钱的……。
140852066,カミラ,ん？　どのこと？,嗯？　你指什么？
140852067,雪,配信に決まってるだろ！,那当然是直播了！
140852068,カミラ,んー、準備とか大変は大変だけど。/nみんなで盛り上がれたら超ハッピーだし、楽しい優先的な？,嗯——，像是准备之类的要说那确实麻烦。/n但能和大家聊起来就超开心了，所以算是快乐优先？
140852069,カミラ,それにウチからしたら、演劇してる上に色んなバイトして！/nシェシェの方がよっぽどガチで尊敬レベル！,而且在咱看来，不仅要演剧而且还打着好几份工！/n雪雪这样的才更加让人敬佩啊！
140852070,雪,まあいい……。これでケジメはつけた。/n迷惑料は受け取ってもらうぞ。ん！,唉行了……。这样就算负起责任了。/n你要收下赔礼喔。嗯！
140852071,カミラ,え？　コラボ配信したんだしチャラっしょ？,诶？　联动直播完不就两清了吗？
140852072,雪,話が違うだろ！　こっちは配信にも出たんだ！/nこれじゃケジメつけたことにならんだろ！？,这和说的不一样！　我还在你直播里出境了！/n这样的话就算不上担责了好吧！
140852073,カミラ,や、待て待て待て。結構ウルチャもらっちゃったし。,不是，等下等下等下。刚直播咱还收到了不少打赏。
140852074,カミラ,むしろお礼するのこっちじゃね？　あ、じゃあそれ出演料！,不如说是咱要跟雪雪道谢吧？　啊、那就当作演出费！
140852075,雪,はぁ！？,哈！？
140852076,カミラ,じゃ、ウチら５限移動教室だから。/nまたコラボしよーね！,好啦，咱第五节课在移动教室上。/n下次再一起联动吧！
140852077,雪,おいお前……！？/n出演料じゃなくて迷惑料だと言ってるだろ――,喂你这家伙……！？/n我都说了不是演出费而是赔礼——
140852078,雪,……くっ。,……可
140852079,雪,完全にアイツのペースに飲まれた……。/n配信者、恐ろしいやつらだ……。,完全被那家伙的节奏带跑了……/n主播，真是令人畏惧的存在……。
